episode_title,episode_id,episode_num,imbd
The Apology,S09E09,159,tt0697651
The Strike,S09E10,160,tt0697790
The Dealership,S09E11,161,tt0697683
The Reverse Peephole (a.k.a. The Man Fur),S09E12,162,tt0697767
The Cartoon,S09E13,163,tt0697670
The Strongbox,S09E14,164,tt0697791
The Wizard,S09E15,165,tt0697813
The Burning,S09E16,166,tt0697663
The Bookstore,S09E17,167,tt0697659
The Frogger,S09E18,168,tt0697701
The Maid,S09E19,169,tt0697727
The Puerto Rican Day,S09E20,170,tt0697761
The Chronicle,S09E21,171,tt0893212
The Finale,S09E22,172,tt0697695
